"","Cell","Batch","Group","ExpLibSize","time","sizeFactor","scSTM_cluster","seurat_cluster","cidr_cluster","raceID_cluster"
"Cell279","Cell279","Batch1","Group5",61701.1964445434,2,1.00722908167608,"topic_1","4",2,2
"Cell280","Cell280","Batch1","Group5",59071.3928768562,2,0.975588291750645,"topic_1","4",2,2
"Cell281","Cell281","Batch1","Group3",86579.5677988168,1,1.40903925803627,"topic_4","10",4,5
"Cell282","Cell282","Batch1","Group1",57511.2951469384,2,0.945045343837123,"topic_3","5",1,1
"Cell283","Cell283","Batch1","Group1",71156.4256379476,2,1.17188899776137,"topic_3","5",1,1
"Cell284","Cell284","Batch1","Group3",57720.4446865555,1,0.952844937832207,"topic_4","10",4,5
"Cell285","Cell285","Batch1","Group1",77059.5909232972,2,1.2646976120222,"topic_3","5",1,1
"Cell286","Cell286","Batch1","Group1",46417.999327549,2,0.754479633411015,"topic_3","5",1,1
"Cell287","Cell287","Batch1","Group3",64871.1076615095,2,1.06593905076092,"topic_4","10",4,5
"Cell288","Cell288","Batch1","Group5",42290.1175896487,2,0.70379865814464,"topic_1","4",2,2
"Cell289","Cell289","Batch1","Group5",64817.202697307,1,1.05800837115248,"topic_1","4",2,2
"Cell290","Cell290","Batch1","Group4",45053.0264753126,2,0.732735807294468,"topic_2","12",3,3
"Cell291","Cell291","Batch1","Group3",53432.3695550574,2,0.884369090551837,"topic_4","10",4,5
"Cell292","Cell292","Batch1","Group5",34997.2345536711,2,0.579103468433318,"topic_1","4",2,2
"Cell293","Cell293","Batch1","Group1",70098.4595394837,2,1.12415744879566,"topic_3","5",1,1
"Cell294","Cell294","Batch1","Group5",57542.962515058,2,0.939588905180898,"topic_1","4",2,2
"Cell295","Cell295","Batch1","Group2",62121.5989347241,2,1.02079644265913,"topic_5","7",2,2
"Cell296","Cell296","Batch1","Group5",61646.6099304582,2,0.999347559172645,"topic_1","4",2,2
"Cell297","Cell297","Batch1","Group3",60548.7494313225,2,1.00255915670003,"topic_4","10",4,5
"Cell298","Cell298","Batch1","Group5",60405.7750812294,2,0.992105079034352,"topic_1","4",2,2
"Cell299","Cell299","Batch1","Group5",51986.73322271,2,0.85315432886983,"topic_1","4",2,2
"Cell300","Cell300","Batch1","Group4",51451.1793740262,2,0.835457771065858,"topic_2","12",3,3
"Cell301","Cell301","Batch2","Group1",64851.6590421497,2,1.05196204723612,"topic_3","3",1,1
"Cell302","Cell302","Batch2","Group5",37620.7718466883,2,0.622558349263071,"topic_1","2",2,2
"Cell303","Cell303","Batch2","Group1",52452.1743408939,2,0.857299911392428,"topic_3","3",1,1
"Cell304","Cell304","Batch2","Group1",71835.8906706811,2,1.15769898011485,"topic_3","3",1,1
"Cell305","Cell305","Batch2","Group5",57736.4144432141,1,0.948863212326313,"topic_1","2",2,2
"Cell306","Cell306","Batch2","Group2",53093.247573318,2,0.88166544977623,"topic_5","7",2,2
"Cell307","Cell307","Batch2","Group1",87425.8088015503,2,1.43976244866817,"topic_3","3",1,1
"Cell308","Cell308","Batch2","Group2",64818.6508188153,2,1.06911787688497,"topic_5","7",2,2
"Cell309","Cell309","Batch2","Group5",41784.1908346544,2,0.688183084452801,"topic_1","2",2,2
"Cell310","Cell310","Batch2","Group5",55740.2409316356,2,0.909963556560915,"topic_1","2",2,2
"Cell311","Cell311","Batch2","Group2",61008.7354271913,2,0.990761451497384,"topic_5","7",2,4
"Cell312","Cell312","Batch2","Group1",72701.0340521132,2,1.18257247525044,"topic_3","3",1,2
"Cell313","Cell313","Batch2","Group1",60475.1006462299,2,0.992727735697825,"topic_3","3",1,1
"Cell314","Cell314","Batch2","Group3",51373.174259857,2,0.846993305041781,"topic_4","9",4,5
"Cell315","Cell315","Batch2","Group2",56517.3731360773,2,0.92495647358928,"topic_5","7",2,2
"Cell316","Cell316","Batch2","Group2",64842.6485349908,2,1.0749020295746,"topic_5","7",2,2
"Cell317","Cell317","Batch2","Group3",62115.654283576,2,1.02489286807671,"topic_4","9",4,5
"Cell318","Cell318","Batch2","Group5",76983.7102775015,2,1.27718351669501,"topic_1","2",2,2
"Cell319","Cell319","Batch2","Group1",41640.2429680104,2,0.685479443677194,"topic_3","3",1,1
"Cell320","Cell320","Batch2","Group1",60176.548414971,2,0.967952554772264,"topic_3","3",1,1
"Cell321","Cell321","Batch2","Group5",75196.3279018823,2,1.24577212659296,"topic_1","2",2,2
"Cell322","Cell322","Batch2","Group5",53634.9789228741,2,0.870195458606989,"topic_1","2",2,2
"Cell323","Cell323","Batch2","Group1",67543.4762375811,2,1.08425826522837,"topic_3","3",1,1
"Cell324","Cell324","Batch2","Group5",60492.2460368728,2,0.979979659798297,"topic_1","2",2,2
"Cell325","Cell325","Batch2","Group1",67121.4705417862,2,1.0883874620493,"topic_3","3",1,2
"Cell326","Cell326","Batch2","Group5",45282.3567536299,2,0.732014836420973,"topic_1","2",2,2
"Cell327","Cell327","Batch2","Group1",77262.4440301436,2,1.25965081590774,"topic_3","3",1,2
"Cell328","Cell328","Batch2","Group5",68344.1950531301,1,1.12440323432071,"topic_1","2",2,2
"Cell329","Cell329","Batch2","Group1",64390.8530782508,1,1.05797559974914,"topic_3","3",1,1
"Cell330","Cell330","Batch2","Group5",62538.7092289537,1,1.0274981946423,"topic_5","2",2,2
"Cell331","Cell331","Batch2","Group4",67393.3566291267,2,1.10768981861696,"topic_2","11",3,3
"Cell332","Cell332","Batch2","Group1",59971.3824804075,2,1.00269024231339,"topic_3","3",1,1
"Cell333","Cell333","Batch2","Group4",44104.382099447,2,0.720331831130017,"topic_2","11",3,3
"Cell334","Cell334","Batch2","Group3",57747.8671607842,2,0.965085056979954,"topic_4","9",4,2
"Cell335","Cell335","Batch2","Group5",41084.4593684301,2,0.664440202732472,"topic_1","2",2,2
"Cell336","Cell336","Batch2","Group2",37210.5270393415,1,0.616446482540033,"topic_5","7",2,2
"Cell337","Cell337","Batch2","Group1",63752.2842003521,2,1.05399387424324,"topic_3","3",1,1
"Cell338","Cell338","Batch2","Group1",95036.7681690464,1,1.58138406820495,"topic_3","3",1,2
"Cell339","Cell339","Batch2","Group4",76254.2050574612,2,1.24954083797714,"topic_2","11",3,3
"Cell340","Cell340","Batch2","Group1",56189.5644978598,2,0.909308128494101,"topic_3","3",1,1
"Cell341","Cell341","Batch2","Group5",68087.9246231667,2,1.10431436407287,"topic_1","2",2,2
"Cell342","Cell342","Batch2","Group5",54286.8783370332,2,0.886466460365641,"topic_1","2",2,2
"Cell343","Cell343","Batch2","Group4",69476.0948757204,2,1.12668084685289,"topic_2","11",3,3
"Cell344","Cell344","Batch2","Group5",91558.1086155078,2,1.49539190583899,"topic_1","2",2,2
"Cell345","Cell345","Batch2","Group1",44116.5751621466,2,0.706584227428598,"topic_3","3",1,1
"Cell346","Cell346","Batch2","Group3",60717.7359270198,1,1.00165794310816,"topic_4","9",4,5
"Cell347","Cell347","Batch2","Group5",56347.3320763661,1,0.938867934307403,"topic_1","2",2,2
"Cell348","Cell348","Batch2","Group1",67547.33382354,2,1.1189959527695,"topic_3","3",1,1
"Cell349","Cell349","Batch2","Group4",73629.1859031523,2,1.21676943463645,"topic_2","11",3,3
"Cell350","Cell350","Batch2","Group1",61907.7270641236,2,1.03062786366133,"topic_3","3",1,2
"Cell351","Cell351","Batch2","Group1",102820.863617357,2,1.69097164097622,"topic_3","3",1,1
"Cell352","Cell352","Batch2","Group3",47166.6194965662,2,0.767899523079028,"topic_4","9",4,5
"Cell353","Cell353","Batch2","Group5",62402.6701130627,2,1.03038207813628,"topic_1","2",2,2
"Cell354","Cell354","Batch2","Group3",78663.3155577062,2,1.28095222807919,"topic_4","9",4,5
"Cell355","Cell355","Batch2","Group1",65178.2398309766,2,1.07165766064388,"topic_3","3",1,1
"Cell356","Cell356","Batch2","Group4",55260.5037190286,2,0.924546831047522,"topic_2","11",3,3
"Cell357","Cell357","Batch2","Group4",79858.8501721138,2,1.30705465084005,"topic_2","11",3,3
"Cell358","Cell358","Batch2","Group5",54785.8594576806,1,0.895494981986001,"topic_1","2",2,2
"Cell359","Cell359","Batch2","Group5",60914.8956759569,2,1.00056010109625,"topic_1","2",2,2
"Cell360","Cell360","Batch2","Group5",54711.0343830738,1,0.883254862838253,"topic_1","2",2,2
"Cell361","Cell361","Batch2","Group1",79171.0190008926,2,1.29959915658004,"topic_3","3",1,2
"Cell362","Cell362","Batch2","Group2",74241.148617457,2,1.21742486270326,"topic_5","7",2,4
"Cell363","Cell363","Batch2","Group5",55068.6219926817,2,0.90352397580447,"topic_1","2",2,2
"Cell364","Cell364","Batch2","Group5",56938.2666345888,1,0.928708799271789,"topic_5","2",2,2
"Cell365","Cell365","Batch2","Group5",71969.7752658337,1,1.18829108513339,"topic_1","2",2,2
"Cell366","Cell366","Batch2","Group5",52587.5064160115,2,0.867295189411338,"topic_1","2",2,2
"Cell367","Cell367","Batch2","Group5",50542.7819588358,1,0.835015357120759,"topic_1","2",2,2
"Cell368","Cell368","Batch2","Group1",55365.4432954958,2,0.925824915777809,"topic_3","3",1,1
"Cell369","Cell369","Batch2","Group3",54757.9534457002,1,0.901819862830754,"topic_4","9",4,5
"Cell370","Cell370","Batch2","Group3",61080.4646975737,2,0.998085860144028,"topic_4","9",4,5
"Cell371","Cell371","Batch2","Group3",62458.4706879705,2,1.01496313286448,"topic_4","9",4,5
"Cell372","Cell372","Batch2","Group1",53813.8033446515,2,0.87170294316066,"topic_3","3",1,1
"Cell373","Cell373","Batch2","Group1",46495.8898159992,2,0.753856976747542,"topic_3","3",1,1
"Cell374","Cell374","Batch2","Group5",81869.4691931728,2,1.34361115126658,"topic_1","2",2,2
"Cell375","Cell375","Batch2","Group5",57084.2233303085,1,0.949485868989786,"topic_1","2",2,2
"Cell376","Cell376","Batch2","Group3",45561.8058325038,1,0.746335939680854,"topic_4","9",4,5
"Cell377","Cell377","Batch2","Group5",66533.5569278872,2,1.09166460238337,"topic_1","2",2,2
"Cell378","Cell378","Batch2","Group1",65554.840370413,2,1.08533972153861,"topic_3","3",1,1
"Cell379","Cell379","Batch2","Group1",69039.935880596,2,1.12985967297694,"topic_3","3",1,1
"Cell380","Cell380","Batch2","Group1",50618.7995145935,2,0.824839836383475,"topic_3","3",1,1
"Cell381","Cell381","Batch2","Group4",65201.525221245,1,1.06249805341015,"topic_2","11",3,3
"Cell382","Cell382","Batch2","Group5",47111.1562883007,1,0.769734721666106,"topic_1","2",2,2
"Cell383","Cell383","Batch2","Group5",60034.9040677047,2,0.986714183184809,"topic_1","2",2,2
"Cell384","Cell384","Batch2","Group5",83218.1800291878,2,1.33956388295401,"topic_1","2",2,2
"Cell385","Cell385","Batch2","Group5",62978.388237369,2,1.02046872862572,"topic_1","2",2,2
"Cell386","Cell386","Batch2","Group3",47676.5182054574,2,0.789037078233772,"topic_4","9",4,5
"Cell387","Cell387","Batch2","Group1",52847.2372955665,2,0.868442188528262,"topic_3","3",1,2
"Cell388","Cell388","Batch2","Group5",70660.9965649535,2,1.18470261646758,"topic_1","2",2,2
"Cell389","Cell389","Batch2","Group5",51256.8388019984,2,0.840619267092017,"topic_1","2",2,2
"Cell390","Cell390","Batch2","Group1",56689.2470843363,2,0.925448044639391,"topic_3","3",1,1
"Cell391","Cell391","Batch2","Group3",68076.1947161287,2,1.10498617784136,"topic_4","9",4,5
"Cell392","Cell392","Batch2","Group3",64163.058636698,2,1.04386751061097,"topic_4","9",4,5
"Cell393","Cell393","Batch2","Group2",73788.5236711249,2,1.19110942582069,"topic_5","7",2,2
"Cell394","Cell394","Batch2","Group1",71680.0499646572,2,1.17206924047975,"topic_3","3",1,1
"Cell395","Cell395","Batch2","Group1",67344.0149858426,2,1.09705549823291,"topic_3","3",1,1
"Cell396","Cell396","Batch2","Group1",54915.1280106295,2,0.885237532740365,"topic_3","3",1,1
"Cell397","Cell397","Batch2","Group5",38481.3016442654,1,0.651577426921252,"topic_1","2",2,2
"Cell398","Cell398","Batch2","Group5",60726.5672456975,2,1.0034603702919,"topic_1","2",2,2
"Cell399","Cell399","Batch2","Group3",68067.5738569951,2,1.10832886098211,"topic_4","9",4,5
"Cell400","Cell400","Batch2","Group1",64020.2775041838,2,1.04331039675418,"topic_3","3",1,1
"Cell401","Cell401","Batch2","Group5",58361.6306915124,1,0.951321067576865,"topic_1","2",2,2
"Cell402","Cell402","Batch2","Group5",53535.0023025683,2,0.882124249423,"topic_1","2",2,2
"Cell403","Cell403","Batch2","Group3",39294.8419964848,1,0.640336835575395,"topic_4","9",4,5
"Cell404","Cell404","Batch2","Group5",78450.4525209487,2,1.28893206479264,"topic_1","2",2,2
"Cell405","Cell405","Batch2","Group1",54962.0600484033,2,0.888645758687797,"topic_3","3",1,1
"Cell406","Cell406","Batch2","Group5",58699.8168915031,2,0.967477369423824,"topic_1","2",2,2
"Cell407","Cell407","Batch2","Group5",74009.6610411405,2,1.21945668971038,"topic_5","2",2,2
"Cell408","Cell408","Batch2","Group1",67207.6832444414,2,1.09389305781053,"topic_3","3",1,1
"Cell409","Cell409","Batch2","Group3",45346.5691249206,1,0.741289143566388,"topic_4","9",4,5
"Cell410","Cell410","Batch2","Group4",56809.6200410659,1,0.936639478880236,"topic_2","11",3,3
"Cell411","Cell411","Batch2","Group5",34185.3299992272,2,0.560997268087587,"topic_1","2",2,2
"Cell412","Cell412","Batch2","Group5",77895.5795779784,2,1.26440266939214,"topic_1","2",2,2
"Cell413","Cell413","Batch2","Group1",61106.2328497521,2,1.00387001283366,"topic_3","3",1,2
"Cell414","Cell414","Batch2","Group5",54074.0412961237,1,0.885221147038695,"topic_1","2",2,2
"Cell415","Cell415","Batch2","Group5",64293.9780300597,1,1.05866379921929,"topic_1","2",2,2
"Cell416","Cell416","Batch2","Group2",51702.5505613695,1,0.877224924623567,"topic_5","7",2,2
"Cell417","Cell417","Batch2","Group5",54674.4854194903,2,0.897117166451365,"topic_1","2",2,2
"Cell418","Cell418","Batch2","Group1",71169.2909842396,2,1.17747652203096,"topic_3","3",1,1
"Cell419","Cell419","Batch2","Group1",72424.0948725073,2,1.19271522458438,"topic_3","3",1,1
"Cell420","Cell420","Batch2","Group2",64120.6418364214,2,1.0386568574798,"topic_5","7",2,2
"Cell421","Cell421","Batch2","Group3",55441.022048148,2,0.904769289131416,"topic_4","9",4,5
"Cell422","Cell422","Batch2","Group5",46495.9102398385,2,0.760312943205658,"topic_1","2",2,2
"Cell423","Cell423","Batch2","Group5",56986.6659111508,1,0.932444739252628,"topic_1","2",2,2
"Cell424","Cell424","Batch2","Group5",54304.7194609074,2,0.885057290021991,"topic_1","2",2,2
"Cell425","Cell425","Batch2","Group5",51809.0418915211,1,0.858741853139418,"topic_1","2",2,2
"Cell426","Cell426","Batch2","Group3",62854.6605346024,2,1.04158989807879,"topic_4","9",4,5
"Cell427","Cell427","Batch2","Group5",52016.7953928106,2,0.855710498330404,"topic_1","2",2,2
"Cell428","Cell428","Batch2","Group5",50484.4462874648,2,0.824413808140046,"topic_1","2",2,2
"Cell429","Cell429","Batch2","Group3",76601.4346381825,1,1.26163348580985,"topic_4","9",4,5
"Cell430","Cell430","Batch2","Group1",43709.5585183501,2,0.73234255045438,"topic_3","3",1,2
"Cell431","Cell431","Batch2","Group3",53913.7271580721,2,0.885892960807179,"topic_4","9",4,5
"Cell432","Cell432","Batch2","Group1",45956.9995247027,2,0.747384624587756,"topic_3","3",1,2
"Cell433","Cell433","Batch2","Group1",62910.3763372403,2,1.04050844176855,"topic_3","3",1,1
"Cell434","Cell434","Batch2","Group3",64002.1525342435,2,1.04134411255374,"topic_4","9",4,5
"Cell435","Cell435","Batch2","Group1",59934.9572708255,2,0.975768534469019,"topic_3","3",1,1
"Cell436","Cell436","Batch2","Group5",79708.4705914953,2,1.30721850785675,"topic_1","2",2,2
"Cell437","Cell437","Batch2","Group4",44709.6173185136,1,0.738028388933989,"topic_2","11",3,3
"Cell438","Cell438","Batch2","Group5",52308.6066947431,2,0.86028210909643,"topic_1","2",2,2
"Cell439","Cell439","Batch2","Group5",56798.2803577849,2,0.935754650990037,"topic_1","2",2,2
"Cell440","Cell440","Batch2","Group1",65737.8769295876,2,1.06972414784677,"topic_3","3",1,1
"Cell441","Cell441","Batch2","Group1",67116.3832550183,2,1.11545664120871,"topic_3","3",1,1
"Cell442","Cell442","Batch2","Group5",53753.2455219871,2,0.890202400346479,"topic_1","2",2,2
"Cell443","Cell443","Batch2","Group4",48509.9330685277,2,0.796492572493779,"topic_2","11",3,3
"Cell444","Cell444","Batch2","Group5",50185.3812763174,1,0.817761213261886,"topic_1","2",2,2
"Cell445","Cell445","Batch2","Group1",75203.4132581755,2,1.24791865351177,"topic_3","3",1,1
"Cell446","Cell446","Batch2","Group3",50956.2383183533,2,0.842388922872414,"topic_4","9",4,5
"Cell447","Cell447","Batch2","Group1",45700.637703311,2,0.746172082664151,"topic_3","3",1,2
"Cell448","Cell448","Batch2","Group5",70732.7948256402,1,1.16448266060638,"topic_1","2",2,2
"Cell449","Cell449","Batch2","Group1",53984.6709829717,2,0.880829778991042,"topic_3","3",1,1
"Cell450","Cell450","Batch2","Group2",61829.058674736,2,1.02030487160902,"topic_5","7",2,2
"Cell451","Cell451","Batch2","Group4",64749.3694180174,2,1.04991383452733,"topic_2","11",3,3
"Cell452","Cell452","Batch2","Group2",79823.2604770983,1,1.31790198534581,"topic_5","7",2,4
"Cell453","Cell453","Batch2","Group1",58951.0248051403,2,0.959956332357136,"topic_3","3",1,1
"Cell454","Cell454","Batch2","Group2",67323.2101511579,2,1.08666696337391,"topic_5","7",2,2
"Cell455","Cell455","Batch2","Group5",49229.2160514688,2,0.805488322710798,"topic_1","2",2,2
"Cell456","Cell456","Batch2","Group2",50831.485350229,2,0.840520952881995,"topic_5","7",2,2
"Cell457","Cell457","Batch2","Group1",72030.4339158506,2,1.17847604983285,"topic_3","3",1,1
"Cell458","Cell458","Batch2","Group1",51987.9285750247,2,0.865459990824259,"topic_3","3",1,1
"Cell459","Cell459","Batch2","Group1",72416.0332610303,2,1.17727989361092,"topic_3","3",1,2
"Cell460","Cell460","Batch2","Group1",66004.553512988,2,1.07509865799465,"topic_3","3",1,1
"Cell461","Cell461","Batch2","Group5",48245.2605803314,1,0.784498238871087,"topic_1","2",2,2
"Cell462","Cell462","Batch2","Group1",64252.7878001381,2,1.07573770035979,"topic_3","3",1,2
"Cell463","Cell463","Batch2","Group5",60250.3019795029,2,0.990695908690703,"topic_1","2",2,2
"Cell464","Cell464","Batch2","Group5",60940.0170465208,1,0.999052616542578,"topic_1","2",2,2
"Cell465","Cell465","Batch2","Group1",77761.1132404473,2,1.27457819012942,"topic_3","3",1,1
"Cell466","Cell466","Batch2","Group1",45256.2980518524,2,0.754479633411015,"topic_3","3",1,1
"Cell467","Cell467","Batch2","Group5",72434.5793030921,1,1.18257247525044,"topic_1","2",2,2
"Cell468","Cell468","Batch2","Group3",59990.0030773942,2,0.99295713552121,"topic_4","9",4,5
"Cell469","Cell469","Batch2","Group5",73522.2489516515,1,1.19613983623348,"topic_1","2",2,2
"Cell470","Cell470","Batch2","Group3",68062.0451863159,1,1.11116358737108,"topic_4","9",4,5
"Cell471","Cell471","Batch2","Group4",42429.3317699485,2,0.693754223020719,"topic_2","11",3,3
"Cell472","Cell472","Batch2","Group5",79790.3595379647,2,1.30851297828871,"topic_1","2",2,2
"Cell473","Cell473","Batch2","Group1",80403.377500622,2,1.32471843724068,"topic_3","3",1,2
"Cell474","Cell474","Batch2","Group1",63840.5838375319,2,1.05474761652008,"topic_3","3",1,2
"Cell475","Cell475","Batch2","Group1",68143.3386913807,2,1.14481981860196,"topic_3","3",1,1
"Cell476","Cell476","Batch2","Group5",33559.6284251929,1,0.553476231020899,"topic_1","2",2,2
"Cell477","Cell477","Batch2","Group1",59008.671599811,2,0.979848574184935,"topic_3","3",1,1
"Cell478","Cell478","Batch2","Group4",53330.5723115579,2,0.854907598948557,"topic_2","11",3,3
"Cell479","Cell479","Batch2","Group1",54883.8648910023,2,0.89592101022943,"topic_3","3",1,2
"Cell480","Cell480","Batch2","Group1",65152.9919784125,2,1.07129717520713,"topic_3","3",1,1
"Cell481","Cell481","Batch2","Group4",73070.0511684765,2,1.18992965530042,"topic_2","11",3,3
"Cell482","Cell482","Batch2","Group5",55494.5060763166,1,0.927922285591613,"topic_1","2",2,2
"Cell483","Cell483","Batch2","Group2",57090.3060039722,1,0.939818305004283,"topic_5","7",2,2
"Cell484","Cell484","Batch2","Group5",71854.9004460902,2,1.18571852997114,"topic_1","2",2,2
"Cell485","Cell485","Batch2","Group5",60724.1259103807,2,1.01124357858531,"topic_1","2",2,2
"Cell486","Cell486","Batch2","Group1",59332.4017152538,2,0.97961917436155,"topic_3","3",1,1
"Cell487","Cell487","Batch2","Group5",43055.998837247,2,0.706485913218576,"topic_5","2",2,2
"Cell488","Cell488","Batch2","Group5",41041.6409544136,1,0.670912554892258,"topic_1","2",2,2
"Cell489","Cell489","Batch2","Group1",61305.1067602305,2,1.00337844178355,"topic_3","3",1,2
"Cell490","Cell490","Batch2","Group2",51483.2469046425,2,0.854825670440206,"topic_5","7",2,2
"Cell491","Cell491","Batch2","Group4",68698.1328836449,2,1.12505866238753,"topic_2","11",3,3
"Cell492","Cell492","Batch2","Group1",57032.2049945418,2,0.949141769254709,"topic_3","3",1,1
"Cell493","Cell493","Batch2","Group1",44518.4185288772,2,0.727459611356617,"topic_3","3",1,1
"Cell494","Cell494","Batch2","Group1",72104.7446675763,2,1.16882487154902,"topic_3","3",1,1
"Cell495","Cell495","Batch2","Group1",60361.4839985374,1,0.993071835432903,"topic_3","3",1,2
"Cell496","Cell496","Batch2","Group1",56118.0479970392,2,0.913928896365138,"topic_3","3",1,1
"Cell497","Cell497","Batch2","Group4",45161.1367270852,2,0.735013419826646,"topic_2","11",3,3
"Cell498","Cell498","Batch2","Group4",65578.5399487315,2,1.08891180450275,"topic_2","11",3,3
"Cell499","Cell499","Batch2","Group5",59301.9270710987,2,0.959284518588652,"topic_1","2",2,2
"Cell500","Cell500","Batch2","Group1",80079.1898501682,2,1.29671527308606,"topic_3","3",1,2
"Cell501","Cell501","Batch2","Group5",42697.8099910333,2,0.70524059989163,"topic_1","2",2,2
"Cell502","Cell502","Batch2","Group2",59360.7262517548,2,0.972475008433279,"topic_5","7",2,2
"Cell503","Cell503","Batch2","Group5",82369.4584888251,1,1.33156766053888,"topic_1","2",2,2
"Cell504","Cell504","Batch2","Group5",60450.2668387261,1,0.983174871624015,"topic_1","2",2,2
"Cell505","Cell505","Batch2","Group3",58374.5214222936,2,0.977456261741064,"topic_4","9",4,5
"Cell506","Cell506","Batch2","Group1",63118.5508434609,2,1.02789145148238,"topic_3","3",1,2
"Cell507","Cell507","Batch2","Group4",69237.6884924036,2,1.13028570122037,"topic_2","11",3,3
"Cell508","Cell508","Batch2","Group1",43928.8588405577,2,0.726542012063078,"topic_3","3",1,1
"Cell509","Cell509","Batch2","Group1",55930.9661993161,2,0.926267329722908,"topic_3","3",1,1
"Cell510","Cell510","Batch2","Group1",57894.5492036601,2,0.945995714534003,"topic_3","3",1,1
"Cell511","Cell511","Batch2","Group1",67353.1387727555,1,1.10970525992242,"topic_3","3",1,1
"Cell512","Cell512","Batch2","Group3",56760.9304658179,2,0.916140966090635,"topic_4","9",4,5
"Cell513","Cell513","Batch2","Group4",56490.6971425723,2,0.926758900773018,"topic_2","11",3,3
"Cell514","Cell514","Batch2","Group1",57241.2895260437,2,0.944553772787012,"topic_3","3",1,1
"Cell515","Cell515","Batch2","Group5",70647.4160216101,1,1.16210673386418,"topic_1","2",2,2
"Cell516","Cell516","Batch2","Group4",59950.5684869384,1,0.989663609485471,"topic_2","11",3,3
"Cell517","Cell517","Batch2","Group5",73439.8252404422,2,1.20113747524294,"topic_1","2",2,2
"Cell518","Cell518","Batch2","Group5",70206.3153599457,2,1.14922757235129,"topic_1","2",2,2
"Cell519","Cell519","Batch2","Group1",51086.337219423,2,0.824315493930024,"topic_3","3",1,1
"Cell520","Cell520","Batch2","Group1",63060.7018248938,1,1.03783757239628,"topic_3","3",1,2
"Cell521","Cell521","Batch2","Group5",62324.4308034459,2,1.01742098811503,"topic_1","2",2,2
"Cell522","Cell522","Batch2","Group5",53818.7081439875,1,0.893037126735449,"topic_1","2",2,2
"Cell523","Cell523","Batch2","Group1",74441.0278685177,2,1.23915230311814,"topic_3","3",1,2
"Cell524","Cell524","Batch2","Group3",70760.8955065933,2,1.15648643819125,"topic_4","9",4,5
"Cell525","Cell525","Batch2","Group3",62541.3581967336,2,1.03311849031522,"topic_4","9",4,5
"Cell526","Cell526","Batch2","Group1",68302.7256082137,1,1.1081650039654,"topic_3","3",1,1
"Cell527","Cell527","Batch2","Group1",53759.7991009905,2,0.886073203525553,"topic_3","3",1,2
"Cell528","Cell528","Batch2","Group5",60003.4585174963,2,0.97965194576489,"topic_1","2",2,2
"Cell529","Cell529","Batch2","Group5",66836.8813101086,2,1.08901011871277,"topic_1","2",2,2
"Cell530","Cell530","Batch2","Group5",47692.3739897177,2,0.771094734904745,"topic_5","2",2,2
"Cell531","Cell531","Batch2","Group1",53205.1589479156,2,0.860183794886408,"topic_3","3",1,1
"Cell532","Cell532","Batch2","Group3",83320.4682507036,2,1.36727210447856,"topic_4","9",4,5
"Cell533","Cell533","Batch2","Group5",59285.2977714226,2,0.968771839855782,"topic_1","2",2,2
"Cell534","Cell534","Batch2","Group5",58680.9703724428,2,0.9663303703069,"topic_1","2",2,2
"Cell535","Cell535","Batch2","Group2",48182.9852599948,2,0.791970118832764,"topic_5","7",2,2
"Cell536","Cell536","Batch2","Group5",82109.1767571432,2,1.35218087324017,"topic_5","2",2,2
"Cell537","Cell537","Batch2","Group5",65799.8676678414,2,1.06156406841494,"topic_5","2",2,2
"Cell538","Cell538","Batch2","Group5",58498.9729197951,2,0.942194231746483,"topic_1","2",2,2
"Cell539","Cell539","Batch2","Group4",54466.9257444268,2,0.899509478895235,"topic_2","11",3,3
"Cell540","Cell540","Batch2","Group4",70478.1913645912,2,1.17410106748687,"topic_2","11",3,3
"Cell541","Cell541","Batch2","Group5",60519.0154719244,2,0.989204809838701,"topic_1","2",2,2
"Cell542","Cell542","Batch2","Group2",47376.0225937187,2,0.76799783728905,"topic_5","7",2,2
"Cell543","Cell543","Batch2","Group5",56882.8929999634,2,0.943242916653385,"topic_1","2",2,2
"Cell544","Cell544","Batch2","Group1",55802.0304669119,2,0.924890930782599,"topic_3","3",1,2
"Cell545","Cell545","Batch2","Group3",51866.7215926723,2,0.840258781655269,"topic_4","9",4,5
"Cell546","Cell546","Batch2","Group5",52443.1240237661,2,0.862264778998542,"topic_1","2",2,2
"Cell547","Cell547","Batch2","Group5",55388.1611704955,2,0.89783813732486,"topic_1","2",2,2
"Cell548","Cell548","Batch2","Group5",73396.6423128785,2,1.19710659263203,"topic_1","2",2,2
"Cell549","Cell549","Batch2","Group1",75666.907875586,2,1.23407273560033,"topic_3","3",1,1
"Cell550","Cell550","Batch2","Group1",41591.4196887329,2,0.678040335118858,"topic_3","3",1,1
"Cell551","Cell551","Batch2","Group4",51574.6261284144,2,0.848926817838882,"topic_2","11",3,3
"Cell552","Cell552","Batch2","Group5",60628.7190093624,2,0.997938388828995,"topic_1","2",2,2
"Cell553","Cell553","Batch2","Group3",50911.3786213108,2,0.825659121466992,"topic_4","9",4,5
"Cell554","Cell554","Batch2","Group5",76677.1704082501,1,1.256357289872,"topic_1","2",2,2
"Cell555","Cell555","Batch2","Group1",74660.0787118457,2,1.24678804009652,"topic_3","3",1,1
"Cell556","Cell556","Batch2","Group5",54418.2268999129,2,0.89310266954213,"topic_5","2",2,2
"Cell557","Cell557","Batch2","Group1",58740.2879275533,2,0.950813110825084,"topic_3","3",1,1
